Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,259.200012,260.200012,253.070007,255.509995,252.210434,5302100
2022-01-04,255.639999,260.829987,255.600006,259.809998,256.454895,3638200
2022-01-05,258.709991,259.440002,254.720001,254.750000,251.460251,3808600
2022-01-06,257.640015,258.450012,255.000000,257.790009,254.461014,3616300
2022-01-07,255.699997,257.380005,250.710007,251.089996,247.847519,4945500
2022-01-10,247.889999,248.100006,240.570007,247.690002,244.491425,6292400
2022-01-11,247.910004,249.949997,244.679993,249.500000,246.278046,3415000
2022-01-12,251.190002,254.710007,249.940002,250.720001,247.482315,2825500
2022-01-13,253.080002,253.750000,250.089996,250.699997,247.462555,2243400
2022-01-14,247.300003,248.699997,241.470001,243.399994,240.256821,3258500
2022-01-18,239.199997,239.600006,234.270004,238.410004,236.107300,4612500
2022-01-19,239.630005,241.160004,234.270004,234.699997,232.433136,4146800
2022-01-20,236.270004,237.589996,223.339996,223.929993,221.767151,5946600
2022-01-21,222.889999,229.850006,221.500000,225.020004,222.846634,5724400
2022-01-24,220.529999,232.710007,220.199997,232.350006,230.105835,4911600
2022-01-25,227.500000,231.940002,224.509995,230.009995,227.788422,4099200
2022-01-26,232.559998,235.000000,225.740005,228.100006,225.896896,4349200
2022-01-27,230.660004,233.169998,223.949997,225.929993,223.747833,3425800
2022-01-28,227.990005,235.139999,224.479996,234.990005,232.720337,3215500
2022-01-31,233.990005,237.610001,232.660004,237.350006,235.057556,4485900
2022-02-01,238.449997,239.479996,233.820007,238.350006,236.047882,2723800
2022-02-02,238.610001,240.710007,236.449997,239.110001,236.800537,2442900
2022-02-03,236.000000,239.490005,233.809998,234.110001,231.848846,2512000
2022-02-04,234.149994,234.149994,225.169998,229.070007,226.857513,3456700
2022-02-07,230.520004,230.979996,224.529999,227.020004,224.827316,2990100
2022-02-08,227.199997,232.619995,225.860001,231.759995,229.521530,2572400
2022-02-09,234.520004,236.479996,232.839996,233.660004,231.403183,2115100
2022-02-10,230.690002,232.860001,225.789993,227.399994,225.203644,3053800
2022-02-11,227.520004,229.720001,224.759995,225.910004,223.728043,2192800
2022-02-14,223.770004,227.020004,223.119995,225.949997,223.767639,2025700
2022-02-15,228.309998,230.059998,226.979996,228.100006,225.896896,1843600
2022-02-16,226.520004,228.169998,223.509995,227.009995,224.817398,2461300
2022-02-17,225.929993,227.220001,223.250000,223.789993,221.628510,2482200
2022-02-18,222.949997,225.720001,220.419998,222.690002,220.539124,4241500
2022-02-22,218.289993,221.449997,210.759995,214.589996,212.517365,7641100
2022-02-23,222.000000,227.750000,214.130005,215.089996,213.012527,8936900
