Country Name,GDP growth (annual %),GDP per capita (current US$),GDP Size (current US$)
Sudan,-20.11157597,2183.441406,1.09E+11
Timor-Leste,-18.11781338,1502.519638,2079916900
Ireland,-5.530007361,103887.8004,5.51E+11
West Bank and Gaza,-5.410937,3372.349744,17420800000
Equatorial Guinea,-5.089308721,6677.793435,12337550584
Marshall Islands,-3.934871099,6678.342391,259300000
Kuwait,-3.640425903,33729.79855,1.64E+11
Estonia,-3.023035841,30133.30445,41291245222
Iraq,-2.93555774,5565.126446,2.51E+11
Sri Lanka,-2.298010562,3827.964956,84356863744
Haiti,-1.863884203,1705.779055,19850829758
Argentina,-1.611001621,14187.48273,6.46E+11
Finland,-1.163962815,52925.68976,2.96E+11
Luxembourg,-1.095723616,128678.1899,85755006124
Austria,-0.954962367,56033.57379,5.12E+11
Hungary,-0.907685956,22141.86698,2.12E+11
Saudi Arabia,-0.754914811,32093.9623,1.07E+12
Peru,-0.550182306,7906.585029,2.68E+11
Sweden,-0.310670185,55516.83648,5.85E+11
Germany,-0.26643841,54343.22651,4.53E+12
Bermuda,-0.094823593,125841.6025,8141700000
Czechia,-0.085330276,31591.17707,3.43E+11
Pakistan,-0.039692523,1365.277432,3.38E+11
Tunisia,0.039156567,3977.695166,48529595417
Netherlands,0.074560722,64572.00596,1.15E+12
Poland,0.138832755,22056.66617,8.09E+11
Chile,0.218780667,17067.81362,3.36E+11
United Kingdom,0.339966158,49463.85546,3.38E+12
Lithuania,0.342262552,27786.00578,79789877416
Uruguay,0.367475176,22797.81117,77240830877
Sao Tome and Principe,0.372252775,2940.933529,678976264.8
Norway,0.479647246,87925.09442,4.85E+11
Puerto Rico,0.563519427,36779.05949,1.18E+11
Nauru,0.590699676,12982.76121,154170289.3
Colombia,0.610409566,6947.359287,3.63E+11
Central Europe and the Baltics,0.639830853,22637.79501,2.27E+12
Italy,0.697632994,39003.3161,2.30E+12
South Africa,0.698485195,6022.542542,3.81E+11
Switzerland,0.716066869,99564.71003,8.85E+11
