Date,Open,High,Low,Close,Adj Close,Volume
2022-02-10,139.500000,141.431000,138.050003,138.602493,138.602493,33018000
2022-02-11,138.750000,139.283249,133.288498,134.130005,134.130005,38808000
2022-02-14,133.365494,136.166504,133.302002,135.300003,135.300003,26792000
2022-02-15,137.471497,137.899994,135.539505,136.425507,136.425507,26578000
2022-02-16,136.430496,137.945999,134.823654,137.487503,137.487503,25610000
2022-02-17,136.149994,136.839493,132.201996,132.308502,132.308502,30968000
2022-02-18,133.037506,133.824005,130.307053,130.467499,130.467499,31858000
2022-02-22,129.985001,131.900757,127.740997,129.402496,129.402496,38906000
2022-02-23,131.078506,131.748993,127.503502,127.584999,127.584999,26432000
2022-02-24,125.000000,133.037003,124.764503,132.673492,132.673492,43166000
2022-02-25,133.525497,135.389008,131.764999,134.519501,134.519501,26236000
2022-02-28,133.284500,135.640503,132.825256,134.891006,134.891006,29676000
2022-03-01,134.479996,136.110992,133.378494,134.167999,134.167999,24640000
2022-03-02,134.608246,135.615494,133.432495,134.751495,134.751495,23966000
2022-03-03,135.978500,136.713806,133.431000,134.307999,134.307999,19780000
2022-03-04,133.382507,134.199005,130.408493,132.121994,132.121994,24446000
2022-03-07,131.904007,131.904007,126.410004,126.464500,126.464500,39178000
2022-03-08,126.250504,131.246506,125.860748,127.278503,127.278503,35250000
2022-03-09,131.399994,134.198502,130.087997,133.865997,133.865997,32258000
2022-03-10,131.462494,133.538498,131.401001,132.682007,132.682007,24266000
2022-03-11,133.999496,134.199997,130.296494,130.475494,130.475494,26600000
2022-03-14,130.572998,131.026001,126.413002,126.740997,126.740997,30254000
2022-03-15,127.741501,130.517242,126.568001,129.660507,129.660507,30292000
2022-03-16,131.000000,133.770996,129.201004,133.690506,133.690506,32058000
2022-03-17,133.320999,134.739502,132.718994,134.600494,134.600494,23994000
2022-03-18,133.884003,136.913498,132.932007,136.801498,136.801498,45900000
2022-03-21,136.847504,137.582504,134.611496,136.478500,136.478500,26632000
2022-03-22,136.500000,141.500000,136.500000,140.277496,140.277496,29776000
